id_karyawan,nama_karyawan,id_departement,jabatan,gaji
k091,Leslie Massey,d003,"Investment banker, operational",13000000
k092,Jenny Harris,d002,Tax adviser,12000000
k093,Crystal Smith,d002,"Accountant, chartered certified",11000000
k094,Nicole Smith,d002,Musician,6000000
k095,Robert Brooks,d001,Heritage manager,9500000
k096,Thomas Perry,d001,Homeopath,8000000
k097,Andrea Nixon,d001,Aid worker,6000000
k098,Randy King,d003,Tree surgeon,7500000
k099,Mary Martinez,d003,Public affairs consultant,9500000
k100,Christine Lopez,d001,Insurance claims handler,8500000
k101,Michael Harris,d004,"Engineer, chemical",10500000
k102,Megan Edwards,d001,"Administrator, education",9000000
k103,Erin Alvarado,d002,"Scientist, research (maths)",11000000
k104,Andrea Brown,d003,Illustrator,8000000
k105,Sara Peters,d004,Production manager,9500000
k106,Justin Stanton,d003,Technical sales engineer,9500000
k107,Jacqueline Merritt,d005,Environmental health practitioner,9500000
k108,Timothy Rasmussen,d002,Technical sales engineer,9500000
k109,Mr. Jose Thompson Jr.,d002,Television production assistant,6000000
k110,James Myers,d005,Economist,12000000
k111,Karen Alvarez,d005,"Physicist, medical",12000000
k112,Susan Miller,d001,Quarry manager,9500000
k113,Michael Booth,d004,Media planner,8500000
k114,Mark Klein,d003,"Civil engineer, contracting",9500000
k115,Kathleen Jordan,d005,Statistician,10000000
k116,Thomas Little,d002,Accounting technician,7500000
k117,James Foster,d005,Sport and exercise psychologist,10000000
k118,Tammy Marsh,d001,Human resources officer,9500000
k119,Jesus Morales,d001,"Psychologist, educational",9500000
